"TOA5","CR6Series","CR6","10158","CR6.Std.09.02 CR6-WIFI.04.00.01","CPU:McGill_University_Program_Version32.CR6 Jan 17th modif2.cr6","43233","CS120A_Data"
"TIMESTAMP","RECORD","Message_ID","Sensor_ID","System_status","Interval_time","Visibilitystr","VisibilityUnits","Averaging_duration","User_alarm_1","User_alarm_2","Emitter_failure","Emitter_lens_dirty","Emitter_temp_error","Detector_lens_dirty","Detector_temp_error","Detector_saturated","Hood_temp_error","Signature_error","Flash_read_error","Flash_write_error","checksumrx"
"TS","RN","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-02-01 03:10:00",4173,"2","0","0","60","52038","M","1","0","0","0","0","0","0","0","0","0","0","0","0","97B9"
"2020-02-01 03:15:00",4174,"2","0","0","60","50719","M","1","0","0","0","0","0","0","0","0","0","0","0","0","5D51"
"2020-02-01 03:20:00",4175,"2","0","0","60","50641","M","1","0","0","0","0","0","0","0","0","0","0","0","0","09CC"
"2020-02-01 03:25:00",4176,"2","0","0","60","52808","M","1","0","0","0","0","0","0","0","0","0","0","0","0","BD54"
"2020-02-01 03:30:00",4177,"2","0","0","60","49801","M","1","0","0","0","0","0","0","0","0","0","0","0","0","3601"
"2020-02-01 03:35:00",4178,"2","0","0","60","47923","M","1","0","0","0","0","0","0","0","0","0","0","0","0","763C"
"2020-02-01 03:40:00",4179,"2","0","0","60","41888","M","1","0","0","0","0","0","0","0","0","0","0","0","0","93BA"
"2020-02-01 03:45:00",4180,"2","0","0","60","43776","M","1","0","0","0","0","0","0","0","0","0","0","0","0","0822"
"2020-02-01 03:50:00",4181,"2","0","0","60","42433","M","1","0","0","0","0","0","0","0","0","0","0","0","0","F45F"
"2020-02-01 03:55:00",4182,"2","0","0","60","41459","M","1","0","0","0","0","0","0","0","0","0","0","0","0","2FED"
"2020-02-01 04:00:00",4183,"2","0","0","60","43422","M","1","0","0","0","0","0","0","0","0","0","0","0","0","54E0"
"2020-02-01 04:05:00",4184,"2","0","0","60","40850","M","1","0","0","0","0","0","0","0","0","0","0","0","0","58B0"
"2020-02-01 04:10:00",4185,"2","0","0","60","39772","M","1","0","0","0","0","0","0","0","0","0","0","0","0","3250"
"2020-02-01 04:15:00",4186,"2","0","0","60","35129","M","1","0","0","0","0","0","0","0","0","0","0","0","0","6231"
"2020-02-01 04:20:00",4187,"2","0","0","60","20442","M","1","0","0","0","0","0","0","0","0","0","0","0","0","95C3"
"2020-02-01 04:25:00",4188,"2","0","0","60","24424","M","1","0","0","0","0","0","0","0","0","0","0","0","0","D4AE"
"2020-02-01 04:30:00",4189,"2","0","0","60","36097","M","1","0","0","0","0","0","0","0","0","0","0","0","0","A1CA"
"2020-02-01 04:35:00",4190,"2","0","0","60","45400","M","1","0","0","0","0","0","0","0","0","0","0","0","0","7086"
"2020-02-01 04:40:00",4191,"2","0","0","60","20995","M","1","0","0","0","0","0","0","0","0","0","0","0","0","A5AB"
"2020-02-01 04:45:00",4192,"2","0","0","60","10021","M","1","0","0","0","0","0","0","0","0","0","0","0","0","3C29"
"2020-02-01 04:50:00",4193,"2","0","0","60","5771","M","1","0","0","0","0","0","0","0","0","0","0","0","0","5E0A"
"2020-02-01 04:55:00",4194,"2","0","0","60","5615","M","1","0","0","0","0","0","0","0","0","0","0","0","0","159A"
"2020-02-01 05:00:00",4195,"2","0","0","60","5151","M","1","0","0","0","0","0","0","0","0","0","0","0","0","58A1"
"2020-02-01 05:05:00",4196,"2","0","0","60","4077","M","1","0","0","0","0","0","0","0","0","0","0","0","0","9FE6"
"2020-02-01 05:10:00",4197,"2","0","0","60","4625","M","1","0","0","0","0","0","0","0","0","0","0","0","0","57FD"
"2020-02-01 05:15:00",4198,"2","0","0","60","3844","M","1","0","0","0","0","0","0","0","0","0","0","0","0","2AF3"
"2020-02-01 05:20:00",4199,"2","0","0","60","2522","M","1","0","0","0","0","0","0","0","0","0","0","0","0","E0E2"
"2020-02-01 05:25:00",4200,"2","0","0","60","2548","M","1","0","0","0","0","0","0","0","0","0","0","0","0","D09A"
"2020-02-01 05:30:00",4201,"2","0","0","60","2723","M","1","0","0","0","0","0","0","0","0","0","0","0","0","1C77"
"2020-02-01 05:35:00",4202,"2","0","0","60","3679","M","1","0","0","0","0","0","0","0","0","0","0","0","0","E041"
"2020-02-01 05:40:00",4203,"2","0","0","60","2699","M","1","0","0","0","0","0","0","0","0","0","0","0","0","C7BD"
"2020-02-01 05:45:00",4204,"2","0","0","60","2396","M","1","0","0","0","0","0","0","0","0","0","0","0","0","5455"
"2020-02-01 05:50:00",4205,"2","0","0","60","2302","M","1","0","0","0","0","0","0","0","0","0","0","0","0","E649"
"2020-02-01 05:55:00",4206,"2","0","0","60","3543","M","1","0","0","0","0","0","0","0","0","0","0","0","0","7F00"
"2020-02-01 06:00:00",4207,"2","0","0","60","3749","M","1","0","0","0","0","0","0","0","0","0","0","0","0","7549"
"2020-02-01 06:05:00",4208,"2","0","0","60","2134","M","1","0","0","0","0","0","0","0","0","0","0","0","0","F30D"
"2020-02-01 06:10:00",4209,"2","0","0","60","2029","M","1","0","0","0","0","0","0","0","0","0","0","0","0","80F1"
"2020-02-01 06:15:00",4210,"2","0","0","60","2198","M","1","0","0","0","0","0","0","0","0","0","0","0","0","ADE7"
"2020-02-01 06:20:00",4211,"2","0","0","60","2866","M","1","0","0","0","0","0","0","0","0","0","0","0","0","9066"
"2020-02-01 06:25:00",4212,"2","0","0","60","2536","M","1","0","0","0","0","0","0","0","0","0","0","0","0","1A06"
"2020-02-01 06:30:00",4213,"2","0","0","60","1877","M","1","0","0","0","0","0","0","0","0","0","0","0","0","8255"
"2020-02-01 06:35:00",4214,"2","0","0","60","1752","M","1","0","0","0","0","0","0","0","0","0","0","0","0","3806"
"2020-02-01 06:40:00",4215,"2","0","0","60","2841","M","1","0","0","0","0","0","0","0","0","0","0","0","0","70A8"
"2020-02-01 06:45:00",4216,"2","0","0","60","3133","M","1","0","0","0","0","0","0","0","0","0","0","0","0","58BB"
"2020-02-01 06:50:00",4217,"2","0","0","60","5039","M","1","0","0","0","0","0","0","0","0","0","0","0","0","171D"
"2020-02-01 06:55:00",4218,"2","0","0","60","4155","M","1","0","0","0","0","0","0","0","0","0","0","0","0","F21C"
"2020-02-01 07:00:00",4219,"2","0","0","60","3604","M","1","0","0","0","0","0","0","0","0","0","0","0","0","2BD6"
"2020-02-01 07:05:00",4220,"2","0","0","60","4668","M","1","0","0","0","0","0","0","0","0","0","0","0","0","874B"
"2020-02-01 07:10:00",4221,"2","0","0","60","5777","M","1","0","0","0","0","0","0","0","0","0","0","0","0","5C1C"
"2020-02-01 07:15:00",4222,"2","0","0","60","5229","M","1","0","0","0","0","0","0","0","0","0","0","0","0","1271"
"2020-02-01 07:20:00",4223,"2","0","0","60","5999","M","1","0","0","0","0","0","0","0","0","0","0","0","0","F23E"
"2020-02-01 07:25:00",4224,"2","0","0","60","5457","M","1","0","0","0","0","0","0","0","0","0","0","0","0","CC78"
"2020-02-01 07:30:00",4225,"2","0","0","60","4831","M","1","0","0","0","0","0","0","0","0","0","0","0","0","8840"
"2020-02-01 07:35:00",4226,"2","0","0","60","5348","M","1","0","0","0","0","0","0","0","0","0","0","0","0","5AFC"
"2020-02-01 07:40:00",4227,"2","0","0","60","5832","M","1","0","0","0","0","0","0","0","0","0","0","0","0","D00D"
"2020-02-01 07:45:00",4228,"2","0","0","60","7460","M","1","0","0","0","0","0","0","0","0","0","0","0","0","9725"
"2020-02-01 07:50:00",4229,"2","0","0","60","7077","M","1","0","0","0","0","0","0","0","0","0","0","0","0","742C"
"2020-02-01 07:55:00",4230,"2","0","0","60","7141","M","1","0","0","0","0","0","0","0","0","0","0","0","0","E332"
"2020-02-01 08:00:00",4231,"2","0","0","60","7616","M","1","0","0","0","0","0","0","0","0","0","0","0","0","A61D"
"2020-02-01 08:05:00",4232,"2","0","0","60","8935","M","1","0","0","0","0","0","0","0","0","0","0","0","0","6AD9"
"2020-02-01 08:10:00",4233,"2","0","0","60","8298","M","1","0","0","0","0","0","0","0","0","0","0","0","0","7743"
"2020-02-01 08:15:00",4234,"2","0","0","60","7606","M","1","0","0","0","0","0","0","0","0","0","0","0","0","AF02"
"2020-02-01 08:20:00",4235,"2","0","0","60","8184","M","1","0","0","0","0","0","0","0","0","0","0","0","0","F82A"
"2020-02-01 08:25:00",4236,"2","0","0","60","8437","M","1","0","0","0","0","0","0","0","0","0","0","0","0","3C37"
