"TOA5","CR6Series","CR6","10158","CR6.Std.09.02 CR6-WIFI.04.00.01","CPU:McGill_University_Program_Version34 May 7 2020.CR6","30372","TPS_3100_Data"
"TIMESTAMP","RECORD","RX","TPS_Wind_Spd_ms_Max","TPS_Baro_Press_mbar_Corrected","TPS_Time_Sec","TPS_Precip_Rate_1minAvg_mmHr","TPS_Total_Accum_mm","TPS_Pwr_Sensor_W","TPS_Pwr_Ref_W","TPS_Amb_Temp_C","TPS_Enc_Temp_C","TPS_Wind_Spd_ms","TPS_Coll_Eff","TPS_Pwr_Offset_W","TPS_Pwr_OffsetRad_W","TPS_Raw_Precip_Rate_1minAvg_mmHr","TPS_Raw_Precip_Rate_5minAvg_mmHr","TPS_Solar_Rad_Wm2","TPS_Net_Rad_Wm2","TPS_Baro_Press_mbar","TPS_Air_Temp_C","TPS_RH_perc"
"TS","RN","","","mbar","","","","","","","","","","","","","","","","","",""
"","","Smp","Max","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-05-13 00:07:00",7498," 1589329901,00.00,00000.00,042.7,040.6,006.6,015.3,01.5,1.000,000.7,000.2,00.15,-0.16,0007,-107,0999.3,007.1,25.9  ",1.5,1015,1.58933E+09,0,0,42.7,40.6,6.6,15.3,1.5,1,0.7,0.2,0.15,-0.16,7,-107,999.3,7.1,25.9
"2020-05-13 00:08:00",7499," 1589329961,00.00,00000.00,036.0,035.1,006.5,015.3,01.2,1.000,000.7,000.2,00.00,-0.21,0007,-107,0999.3,007.1,25.9  ",1.2,1015,1.58933E+09,0,0,36,35.1,6.5,15.3,1.2,1,0.7,0.2,0,-0.21,7,-107,999.3,7.1,25.9
"2020-05-13 00:09:00",7500," 1589330021,00.00,00000.00,053.2,053.0,006.5,015.3,02.4,1.000,000.8,000.2,-0.10,-0.18,0007,-109,0999.5,007.1,25.6  ",2.4,1015,1.58933E+09,0,0,53.2,53,6.5,15.3,2.4,1,0.8,0.2,-0.1,-0.18,7,-109,999.5,7.1,25.6
"2020-05-13 00:10:00",7501," 1589330082,00.00,00000.00,044.1,041.0,006.5,015.2,01.5,1.000,000.7,000.2,00.27,-0.15,0007,-108,0999.4,007.1,25.4  ",1.5,1015,1.58933E+09,0,0,44.1,41,6.5,15.2,1.5,1,0.7,0.2,0.27,-0.15,7,-108,999.4,7.1,25.4
"2020-05-13 00:11:00",7502," 1589330141,00.00,00000.00,024.8,024.5,006.5,015.2,00.6,1.000,000.6,000.2,-0.05,-0.11,0006,-108,0999.5,007.2,26.0  ",0.6,1015,1.58933E+09,0,0,24.8,24.5,6.5,15.2,0.6,1,0.6,0.2,-0.05,-0.11,6,-108,999.5,7.2,26
"2020-05-13 00:12:00",7503," 1589330201,00.00,00000.00,033.9,032.9,006.4,015.2,01.0,1.000,000.7,000.2,00.02,-0.16,0005,-108,0999.4,007.1,26.2  ",1,1015,1.58933E+09,0,0,33.9,32.9,6.4,15.2,1,1,0.7,0.2,0.02,-0.16,5,-108,999.4,7.1,26.2
"2020-05-13 00:13:00",7504," 1589330261,00.00,00000.00,039.7,036.9,006.3,015.1,01.3,1.000,000.7,000.2,00.23,-0.14,0006,-107,0999.4,007.0,25.8  ",1.3,1015,1.58933E+09,0,0,39.7,36.9,6.3,15.1,1.3,1,0.7,0.2,0.23,-0.14,6,-107,999.4,7,25.8
"2020-05-13 00:14:00",7505," 1589330321,00.00,00000.00,047.8,045.1,006.4,015.1,01.8,1.000,000.8,000.2,00.21,-0.08,0006,-106,0999.5,006.9,26.1  ",1.8,1015,1.58933E+09,0,0,47.8,45.1,6.4,15.1,1.8,1,0.8,0.2,0.21,-0.08,6,-106,999.5,6.9,26.1
"2020-05-13 00:15:00",7506," 1589330381,00.00,00000.00,029.0,027.6,006.5,015.0,00.8,1.000,000.6,000.2,00.07,-0.06,0006,-107,0999.5,006.9,26.2  ",0.8,1015,1.58933E+09,0,0,29,27.6,6.5,15,0.8,1,0.6,0.2,0.07,-0.06,6,-107,999.5,6.9,26.2
"2020-05-13 00:16:00",7507," 1589330441,00.00,00000.00,031.0,032.9,006.4,015.0,01.0,1.000,000.7,000.2,-0.33,-0.09,0005,-108,0999.5,007.0,26.7  ",1,1015,1.58933E+09,0,0,31,32.9,6.4,15,1,1,0.7,0.2,-0.33,-0.09,5,-108,999.5,7,26.7
"2020-05-13 00:17:00",7508," 1589330501,00.00,00000.00,032.3,034.1,006.3,015.0,01.1,1.000,000.7,000.2,-0.33,-0.19,0004,-107,0999.5,007.0,26.7  ",1.1,1015,1.589331E+09,0,0,32.3,34.1,6.3,15,1.1,1,0.7,0.2,-0.33,-0.19,4,-107,999.5,7,26.7
"2020-05-13 00:18:00",7509," 1589330561,00.00,00000.00,029.0,025.2,006.2,014.9,00.6,1.000,000.6,000.2,00.36,-0.18,0005,-105,0999.6,006.9,26.7  ",0.6,1015,1.589331E+09,0,0,29,25.2,6.2,14.9,0.6,1,0.6,0.2,0.36,-0.18,5,-105,999.6,6.9,26.7
