"TOA5","CR6Series","CR6","10158","CR6.Std.09.02 CR6-WIFI.04.00.01","CPU:McGill_University_Program_Version32.CR6.cr6","61223","Flux_AmeriFluxFormat"
"TIMESTAMP","RECORD","TIMESTAMP_START","TIMESTAMP_END","CO2","CO2_SIGMA","H2O","H2O_SIGMA","FC","FC_SSITC_TEST","LE","LE_SSITC_TEST","ET","ET_SSITC_TEST","H","H_SSITC_TEST","G","SG","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","WD","WS","WS_MAX","USTAR","ZL","TAU","TAU_SSITC_TEST","MO_LENGTH","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","PA","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","TA_2_1_1","RH_2_1_1","T_DP_2_1_1","TA_3_1_1","RH_3_1_1","T_DP_3_1_1","VPD","T_SONIC","T_SONIC_SIGMA","PBLH","SWC_1_1_1","TS_1_1_1","TS_2_1_1","ALB","NETRAD","SW_IN","SW_OUT","LW_IN","LW_OUT"
"TS","RN","","","umolCO2 mol-1","umolCO2 mol-1","mmolH2O mol-1","mmolH2O mol-1","umolCO2 m-2 s-1","adimensional","W m-2","adimensional","mm hour-1","adimensional","W m-2","adimensional","W m-2","W m-2","m","m","m","m","decimal degrees","m s-1","m s-1","m s-1","adimensional","kg m-1 s-2","adimensional","m","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","kPa","deg C","%","deg C","deg C","%","deg C","deg C","%","deg C","hPa","deg C","deg C","m","%","deg C","deg C","%","W m-2","W m-2","W m-2","W m-2","W m-2"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Smp","Smp","Avg","Smp","Smp","Smp"
"2020-01-06 15:30:00",2481,202001061500,202001061530,410.3425,2.069264,1.496495,0.1078212,0.1381282,3,5.802214,3,0.008297583,3,12.61858,3,225.852,266.2247,15.50804,42.8737,22.04802,16.68732,74.04459,2.616357,7.565965,0.4062425,-0.003655122,0.2151852,1,-449.8152,2.405479,0.9661866,0,1.022221,-3.72529E-09,0.6201171,99.68464,-8.186885,44.6661,-18.13812,-6.915718,40.69255,-18.08155,-8.10016,73.19698,-12.05106,2.169256,-6.789234,0.1100269,1296.864,2.231866,22.92781,0,0,1382.38,52.7701,301.9795,"NAN","NAN"
"2020-01-06 16:00:00",2482,202001061530,202001061600,410.4823,8.055693,1.711739,0.2793058,2.212321,3,5.286858,3,0.007561345,3,14.20096,3,49.26646,92.26076,15.47617,42.78165,22.00203,16.65257,77.2774,2.424357,6.311019,0.3983067,-0.004345914,0.2066521,1,-378.3162,2.229853,0.8866639,0,0.943008,0,0.6095688,99.63232,-8.011356,50.08083,-16.60266,-6.809046,45.86761,-16.54848,-7.87605,77.33658,-11.14778,1.986458,-6.664057,0.1031095,1331.46,2.2304,27.62707,0,0,1188.845,52.79761,301.0737,"NAN","NAN"
"2020-01-06 16:30:00",2483,202001061600,202001061630,411.0604,12.74882,1.854907,0.4842291,-1.809454,3,3.813733,3,0.005454671,3,10.48462,3,154.0826,185.3393,16.2844,45.01723,23.15265,17.52329,78.10052,2.545488,6.469615,0.4029916,-0.003098491,0.211352,1,-530.6228,2.372187,0.8186415,0,0.9119216,9.313226E-10,0.5787161,99.56355,-7.998576,53.86592,-15.72111,-6.767951,49.25156,-15.66522,-7.874045,81.83598,-10.43207,1.857759,-6.609104,0.1162432,1257.763,2.237891,27.84624,0,0,1294.056,52.94299,295.0195,"NAN","NAN"
"2020-01-06 17:00:00",2484,202001061630,202001061700,410.8363,8.342552,1.957808,0.2766038,-0.01660469,3,7.42829,3,0.01062875,3,17.05019,3,-497.5317,-456.8999,16.30648,45.06595,23.1821,17.54576,75.48712,2.479411,6.489345,0.4094738,-0.004824454,0.2177196,1,-340.7909,2.320139,0.9111146,0,0.8547652,-7.450581E-09,0.58703,99.50553,-7.547442,55.21444,-15.00305,-6.338829,50.57028,-14.94781,-7.419747,82.27657,-9.919201,1.880304,-6.173498,0.1276018,1349.617,2.232521,28.53584,0,0,1460.078,53.0234,300.304,"NAN","NAN"
